name,price,year,location,mileage,engine,gearshift,addtional_info,image
BMW Seria 5,46 000,2004 ,Wolbórz (Łódzkie),136 500 km,Diesel,Automatyczna,"2 993 cm3 • 218 KM • BMW E60 2004 136 500 km, 266 KM Automat",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InMxdmUwZDd0bmtpejEtT1RPTU9UT1BMIn0.XPJMvQjcItLVr-AqXBO8z6LzxHiEVI2DP32zTYdacpo/image;s=320x240
BMW X1 sDrive18d Advantage,61 000,2017 ,Świecie (Kujawsko-pomorskie),250 000 km,Diesel,Manualna,1 995 cm3 • 150 KM • Bmw X1 ładna zadbana,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InBqbWFtZG50bHczeC1PVE9NT1RPUEwifQ.EocyPzqlJnqsbdABjH-fBmyrbnaVKhWRfr6UTbw4NoU/image;s=320x240
BMW X1 sDrive20i mHEV M Sport sport,209 900,2023 ,Poznań (Wielkopolskie),4 000 km,Benzyna,Automatyczna,1 499 cm3 • 156 KM • Nowe BMW X1 sDrive20i M Sport / Pakiet Travel / Dostępne od ręki,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijd0Zmdjb3Bob2t3ZjEtT1RPTU9UT1BMIn0.AB2XwfzAGvQWVjPAmAjMTsClSDTNNX-QQxpfLj3se_o/image;s=320x240
BMW Seria 5 530e xDrive M Sport sport,199 999,2021 ,Białystok (Podlaskie),49 000 km,Hybryda Plug-in,Automatyczna,1 998 cm3 • 184 KM • 530E XDRIVE M PAKIET / I wł. salon / VAT 23% / PERFEKCYJNY /,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjBrMGR2dHlmeGtlNC1PVE9NT1RPUEwifQ.fSrj1uPQItlfDW7I8hwoXApieybJB64iC-IBTDHF7_M/image;s=320x240
BMW Seria 3 320i,16 900,2005 ,Nozdrzec (Podkarpackie),243 000 km,Benzyna,Manualna,1 995 cm3 • 150 KM • 320i/ z Niemiec/ Kubły/ Multifunkcja/ tempomat,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9wY3U3aWs5bzY0NDItT1RPTU9UT1BMIn0.Pd8IA-Aa4H9IvWmtSO9HxIrgg2dujH4XuTN3gum6cWs/image;s=320x240
BMW Seria 5 520i mHEV M Sport,243 300,2024 ,Gliwice (Śląskie),7 km,Benzyna,Automatyczna,1 998 cm3 • 190 KM • 520i Sedan / Szary Brooklyn M / Nowy model !!! / BMW Gazda /,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImlxYnY2bXFjNHJlOTItT1RPTU9UT1BMIn0.g22NlBuA9jc1-ru0ssSAN7EU2LPNKfMi3AedjmJS33M/image;s=320x240
BMW X3 M,349 900,2023 ,Poznań (Wielkopolskie),11 000 km,Diesel,Automatyczna,2 993 cm3 • 340 KM • Nowe BMW X3 M40d / Bogata wersja / !Dostępny od ręki!/,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVtcHVhdGkzNW9tNjMtT1RPTU9UT1BMIn0.qN7Khalw67XOtaBpkmV8jC5sS0Iu7dp-lVaYKzkVpDQ/image;s=320x240
BMW Seria 3 320d xDrive mHEV M Sport sport,252 000,2024 ,Warszawa (Mazowieckie),1 km,Diesel,Automatyczna,1 995 cm3 • 190 KM • 320d xDrive mHEV M Sport sport-automat,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InJvenU2MWJkc3RiZzItT1RPTU9UT1BMIn0.eEFOM9EeYCa-TBY-x1EmOjhF9Vg6w-pe20_UHkMH78k/image;s=644x461
BMW X7 M60i xDrive mHEV sport,719 900,2023 ,Poznań (Wielkopolskie),9 000 km,Benzyna,Automatyczna,4 395 cm3 • 530 KM • Nowe BMW X7 M60i xDrive / Pakiet Exclusive / Dostępny od ręki /,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImlxN2VjeHc2dTgyajEtT1RPTU9UT1BMIn0.EOPJ7acicqGKCX5PJ5dxQI7UTw8drFf3IgVwVqOLa64/image;s=320x240
BMW Seria 5 523i,10 900,1998 ,Piotrków Trybunalski (Łódzkie),356 700 km,Benzyna+LPG,Manualna,2 494 cm3 • 170 KM • BMW e39 od 9 lat w jednych rękach. Uczciwy stan i opis.,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNiNTJkeDQ0dG5saDItT1RPTU9UT1BMIn0.h9cY-CswNJzbbb4ayvfbz1z-quyILSNxHCov7SbPFXY/image;s=320x240
BMW X1,79 900,2015 ,Łask (Łódzkie),171 000 km,Benzyna,Automatyczna,1 998 cm3 • 192 KM • 2.0 benzyna 192 KM Automat 4x4 BEZWYPADKOWY 2 x Alufelgi Panorama,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InUyNGJuc2l2cjl2NDItT1RPTU9UT1BMIn0.21bM-Jp5Mdk-iYKkKRrf5o-ESHDTyGkugYWCfHBfeic/image;s=320x240
BMW X1 xDrive20i GPF M Sport sport,150 000,2019 ,Chojnice (Pomorskie),62 000 km,Benzyna,Automatyczna,1 998 cm3 • 192 KM • Pierwszy właściciel Polski Salon,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InpnZGd0dWgwaHF6aC1PVE9NT1RPUEwifQ.wAoYlmaQNlaKEk6tFkRLzDBBF9e2ZSP1ev6Fj6ugpC8/image;s=320x240
BMW Seria 4 M440i xDrive mHEV sport,399 900,2023 ,Poznań (Wielkopolskie), 500 km,Benzyna,Automatyczna,2 998 cm3 • 374 KM • Nowe BMW M440i xDrive GC / Pakiet sportowy M Pro /!Dostępny od Ręki!/,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijd3azR4Z2RncWZzYjEtT1RPTU9UT1BMIn0.7bjAmPglmFhkOhu7eVFRdWPBXSu7A-b8EJYlLRdSTVY/image;s=320x240
BMW Seria 5 520d,49 000,2011 ,Wieluń (Łódzkie),284 000 km,Diesel,Automatyczna,1 995 cm3 • 184 KM • BMW 520d kolor havana,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjUxZnNpMzR1aGkyNi1PVE9NT1RPUEwifQ.h_ZJCPrghB_bgVU7YqIERU6yAqS2Jxf7mxUV-ERF6Dk/image;s=320x240
BMW iX,309 900,2022 ,Swadzim (Wielkopolskie),12 003 km,Elektryczny,Automatyczna,326 KM • iX 40e xDrive 326KM | Nagłośnienie Harman Kardon Kamery 360 |,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJjbmQ5b3o4cmtjMy1PVE9NT1RPUEwifQ.lwODxmbUUqR47JMd-T2mjfk_eZ61tvtPvFiLFBLishE/image;s=644x461
BMW Seria 3 320i M Sport,195 900,2023 ,Poznań (Wielkopolskie),10 000 km,Benzyna,Automatyczna,1 998 cm3 • 184 KM • Nowe BMW 320i / Pakiet Sportowy M / !Dostępny od Ręki! /,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im4yYzl0dmkwZTlqbjEtT1RPTU9UT1BMIn0.j_fYr-t8csKQXl33MUsUJ96zSaO-6RmepHEok9_f6vM/image;s=320x240
BMW Seria 7 740Li,169 900,2017 ,Biała Podlaska (Lubelskie),139 538 km,Benzyna,Automatyczna,2 998 cm3 • 326 KM • Sprzedam BMW 740li,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ind0anpmOXlvbXVpbzEtT1RPTU9UT1BMIn0.kLyoLtRbMfklMAf9lekr-oyi-iNaFKtZHuuSzMToGQ4/image;s=320x240
BMW X3,269 800,2023 ,Swadzim (Wielkopolskie),23 615 km,Diesel,Automatyczna,"1 995 cm3 • 190 KM • X3 xDrive20d, 190 KM",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjMyeHdncjd6OW1pYTMtT1RPTU9UT1BMIn0.M4dltcIX3LYv8TApUoD1KcEyyVFLGs-sob5FtBtvLpw/image;s=644x461
BMW X3 xDrive20d M Sport sport,184 800,2020 ,Swadzim (Wielkopolskie),86 335 km,Diesel,Automatyczna,1 995 cm3 • 190 KM • 190KM FV23% salon PL bezwypadkowy HUD elektr. fotele LED keyless,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imo2emtxbnBmN3NvMjItT1RPTU9UT1BMIn0.4uh0ZCN9uH_ZomajondG6JKyyGaa_mRsqrUdRfSAjO4/image;s=644x461
